ENSEMBL	logFC	logCPM	F	PValue	FDR	SYMBOL
ENSG00000140694	0.351802154403349	6.29248067877014	19.3468817167865	6.48800866215784e-05	0.000146721951109596	PARN
ENSG00000229585	1.22794014818404	0.353699065487616	19.3455166855882	6.49126004611871e-05	0.000146782545448138	
ENSG00000160336	1.00886708755508	3.62915606598401	19.3445842617195	6.49348197883739e-05	0.000146819852864824	ZNF761
ENSG00000256913	-1.33692389825951	-0.452596119824828	19.34314788536	6.49690637166297e-05	0.000146884339348776	
ENSG00000076201	0.469666520215476	5.84104192637308	19.3408483761899	6.50239245568917e-05	0.000146995421805041	PTPN23
ENSG00000234933	1.07574766099897	-0.34746466603609	19.3401508885826	6.5040574550357e-05	0.000147020111488014	CDC42P1
ENSG00000229817	1.01390678665372	1.71501131690344	19.3392719794319	6.50615616877009e-05	0.000147054599798753	LOC645266
ENSG00000229519	1.05195471905318	-0.102966653177657	19.3368752507088	6.51188283233487e-05	0.000147171075107322	
ENSG00000272836	-1.16982474060318	-0.17139709292163	19.3345397910991	6.5174681819075e-05	0.000147284336434495	
ENSG00000232713	0.922624265603149	0.27427497713169	19.3336233062549	6.5196613649062e-05	0.000147320927038491	
ENSG00000280183	1.2135592580955	-0.117519798217649	19.3292045599875	6.53024644885687e-05	0.000147547121322222	
ENSG00000196655	-0.371015722399374	4.65184723229559	19.3287792578297	6.5312662074543e-05	0.000147557171843587	TRAPPC4
ENSG00000101605	-1.04083901347158	4.09393775929753	19.3279109286334	6.53334874216496e-05	0.000147591229176713	MYOM1
ENSG00000187118	0.371171349626671	3.32321598549253	19.3250468227778	6.54022272905777e-05	0.000147733512006044	CMC1
ENSG00000241962	-0.713197347246644	1.34379178512056	19.3245440517182	6.54143018453466e-05	0.000147747782879593	
ENSG00000285991	-0.765066795761	0.56963079285217	19.3230508462898	6.54501764524006e-05	0.000147815802415599	RAET1E
ENSG00000163634	-0.495177337557853	5.01214490623133	19.3128856530671	6.56949460358123e-05	0.00014835554685518	THOC7
ENSG00000126947	-0.624672346285164	4.44377374230671	19.3113266648694	6.57325699423675e-05	0.000148427450956437	ARMCX1
ENSG00000240373	1.11667867424169	-0.491686964026226	19.3051766129904	6.58812128079324e-05	0.000148750006748974	
ENSG00000275055	0.883694363887119	-0.039407167366041	19.2944522384349	6.61412572534993e-05	0.000149324011911599	
ENSG00000272578	0.619694294888817	2.13570973675135	19.2871339713796	6.63193276180726e-05	0.000149712863340473	
