hb01	hb02	hb03	hb04	hb05	hb06	hb07	hb08	hb09	hb10	hb11	hb12	hb13	hb14	hb15	hb16	hb17	hb18	P01	P02	P03	P04	P05	P06	P07	P08	P09	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	R01	R02	R03
3	0	3	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	3	0	0	0	0	2	0	2	2	2	8	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	44	0	23	18	14	10	26	21	0	25	30	22	0	14	25	33	38	6	2	0	5	4	4	6	16	3	6	4	13	16	11	21	15	31	18	24	18	8	16	3	14	11	22
3	3	8	10	2	6	5	4	4	4	2	5	6	8	0	6	5	4	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	3	5
2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	2	2	3	0	0	5	6	3	5	11	2	6	3	4	6	9	3	0	0	0	0	0	0	5	0	4	3	0	0	0	0	4	8	2	3	0	0	3	0	5	0	4
14	0	2	4	0	0	0	2	6	2	3	0	0	6	7	6	3	4	0	0	0	0	0	2	0	2	0	0	0	0	5	0	2	3	0	0	0	0	0	3	0	0	0	3
10	0	0	0	3	2	0	0	6	6	5	4	5	5	4	3	9	5	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	3	0	2	2	0	0	0	0	4	3
4	0	0	4	7	7	0	10	6	0	3	3	0	2	0	2	5	2	4	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	5	0	0	0	0	0	0	0	2	0
2	0	2	0	0	2	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	3	3	0	5	0	0	2	0	4	0	0	5	7
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	3	0	6	0	4	0	0	7	0	3	3	0	0	0	0	8	10	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	4	2	0	0	0	0	0	2	0
3	3	0	0	2	0	0	0	0	0	4	0	0	0	2	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	0	0	3	0	0	0	0	0	5
18	11	20	22	9	10	5	10	8	23	15	11	19	13	10	12	13	13	7	0	2	0	0	4	0	0	0	0	0	6	3	3	15	4	0	5	0	2	0	3	0	4	7	20
3	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	10	13	3	7	0	3	6	11	10	12	15	3	6	10	3	19	19	0	0	0	0	0	0	0	0	0	0	0	0	4	0	14	2	10	0	0	0	0	4	0	9	0	6
6	3	4	0	0	0	0	4	4	0	0	5	0	6	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	2	0
